Ref(s),Value,Footprint,Qty
"SW1","1","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW2","2","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"ENC1","VOL","keeberia:RotaryEncoder_Alps_EC11-Switched_Vertical","1"
"SW3","4","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW4","5","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW5","6","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW6","7","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW7","8","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW8","9","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"U1","XIAO RP2040","keeberia:Module_Seeed_XIAO","1"
