Ref(s),Value,Footprint,Qty
"SW1","M1","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW2","M2","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"ENC1","MIX","keeberia:RotaryEncoder_Alps_EC11-Switched_Vertical","1"
"OLED1","SSD1306 0.91in I2C","keeberia:Display_SSD1306_128x32_0.91in","1"
"SW3","M5","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW4","M6","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW5","M7","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW6","M8","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW7","M10","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW8","M11","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW9","M12","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"SW10","M13","keeberia:SW_Cherry_MX_Hotswap_1.00u_PCB","1"
"U1","XIAO RP2040","keeberia:Module_Seeed_XIAO","1"
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9","1N4148W","keeberia:D_SOD-123","10"
